outcome code,count,year,month,date_formatted,,,,,
CA,13,2012,10,10/1/2012,,1,,,
DE,54,2012,12,12/1/2012,,1,,,
LT,51,2012,12,12/1/2012,,1,,,
DS,71,2012,10,10/1/2012,,1,,,
HO,356,2012,11,11/1/2012,,1,,,
DS,61,2012,7,7/1/2012,,1,,,
DE,33,2012,4,4/1/2012,,1,,,
OT,497,2012,11,11/1/2012,,1,,,
DS,12,2012,1,1/1/2012,,1,,,
LT,16,2012,4,4/1/2012,,1,,,
CA,10,2012,1,1/1/2012,,1,,,
DE,60,2012,5,5/1/2012,,1,,,
LT,32,2012,5,5/1/2012,,1,,,
HO,131,2012,2,2/1/2012,,1,,,
